361  [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
371  [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
378  [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2f112965, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@1a04f701, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4e91d63f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@d4342c2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2bbf180e]
527  [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@3911c2a7: startup date [Tue May 03 23:22:57 BST 2016]; root of context hierarchy
856  [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'jobExplorer' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.batch.core.configuration.annotation.SimpleBatchConfiguration; factoryMethodName=jobExplorer; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/batch/core/configuration/annotation/SimpleBatchConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=uk.ac.kcl.batch.BatchConfigurer; factoryMethodName=jobExplorer; initMethodName=null; destroyMethodName=(inferred); defined in class uk.ac.kcl.batch.BatchConfigurer]
856  [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'jobRegistry' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.batch.core.configuration.annotation.SimpleBatchConfiguration; factoryMethodName=jobRegistry; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/batch/core/configuration/annotation/SimpleBatchConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=uk.ac.kcl.batch.BatchConfigurer; factoryMethodName=jobRegistry; initMethodName=null; destroyMethodName=(inferred); defined in class uk.ac.kcl.batch.BatchConfigurer]
857  [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'jobLauncher' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.batch.core.configuration.annotation.SimpleBatchConfiguration; factoryMethodName=jobLauncher; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/batch/core/configuration/annotation/SimpleBatchConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=uk.ac.kcl.batch.BatchConfigurer; factoryMethodName=jobLauncher; initMethodName=null; destroyMethodName=(inferred); defined in class uk.ac.kcl.batch.BatchConfigurer]
868  [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-slave.xml]
1189 [main] INFO  o.s.b.f.c.PropertiesFactoryBean - Loading properties file from URL [jar:file:/home/rich/.gradle/caches/modules-2/files-2.1/org.springframework.integration/spring-integration-core/4.2.3.RELEASE/379a93c0d5ed9b3ff44f1d9d435095e76a4566a3/spring-integration-core-4.2.3.RELEASE.jar!/META-INF/spring.integration.default.properties]
34953 [task-scheduler-3] INFO  u.a.k.l.JobCompleteNotificationListener - !!! JOB FINISHED! promoting last good record date to JobExecutionContext
34959 [task-scheduler-3] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [FlowJob: [name=tikaJob]] completed with the following parameters: [{this_attempt_date=1462314212083}] and the following status: [COMPLETED]
37763 [task-scheduler-2] INFO  uk.ac.kcl.scheduling.Scheduler - Last good run was 1970-04-10 00:00:00.0. Recommencing from then
37772 [task-scheduler-2] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [FlowJob: [name=tikaJob]] launched with the following parameters: [{this_attempt_date=1462314215008}]
37785 [task-scheduler-2] INFO  o.s.b.core.job.SimpleStepHandler - Executing step: [tikaMasterStep]
37802 [task-scheduler-2] INFO  u.a.k.p.ColumnRangePartitioner - last successful batch retrieved from job repository. Commencing from 1970-04-10 00:00:00.0
37803 [task-scheduler-2] INFO  u.a.k.p.ColumnRangePartitioner - This job SQL:  SELECT  MAX(primaryKeyFieldValue) AS max_id ,  MIN(primaryKeyFieldValue) AS min_id ,  MAX(updateTime) AS max_time_stamp ,  MIN(updateTime) AS min_time_stamp   FROM (  SELECT TOP 100 PERCENT primaryKeyFieldValue, updateTime FROM dbo.tblInputDocs  WHERE CAST (updateTime as DATETIME ) > CAST ('1970-04-10 00:00:00.0' as DATETIME )  AND CAST (updateTime as DATETIME ) <= CAST ('1970-05-20 00:00:00.0' as DATETIME )  ORDER BY updateTime ASC  , primaryKeyFieldValue ASC  ) t1
37806 [task-scheduler-2] INFO  u.a.k.p.ColumnRangePartitioner - Database appears to be synched as far as 1970-04-10 00:00:00.0Checking again on next job
37817 [task-scheduler-2] INFO  u.a.k.l.JobCompleteNotificationListener - !!! JOB FINISHED! promoting last good record date to JobExecutionContext
37822 [task-scheduler-2] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [FlowJob: [name=tikaJob]] completed with the following parameters: [{this_attempt_date=1462314215008}] and the following status: [COMPLETED]
42763 [task-scheduler-4] INFO  uk.ac.kcl.scheduling.Scheduler - Last good run was 1970-04-10 00:00:00.0. Recommencing from then
42775 [task-scheduler-4] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [FlowJob: [name=tikaJob]] launched with the following parameters: [{this_attempt_date=1462314220008}]
42789 [task-scheduler-4] INFO  o.s.b.core.job.SimpleStepHandler - Executing step: [tikaMasterStep]
42806 [task-scheduler-4] INFO  u.a.k.p.ColumnRangePartitioner - last successful batch retrieved from job repository. Commencing from 1970-04-10 00:00:00.0
42806 [task-scheduler-4] INFO  u.a.k.p.ColumnRangePartitioner - This job SQL:  SELECT  MAX(primaryKeyFieldValue) AS max_id ,  MIN(primaryKeyFieldValue) AS min_id ,  MAX(updateTime) AS max_time_stamp ,  MIN(updateTime) AS min_time_stamp   FROM (  SELECT TOP 100 PERCENT primaryKeyFieldValue, updateTime FROM dbo.tblInputDocs  WHERE CAST (updateTime as DATETIME ) > CAST ('1970-04-10 00:00:00.0' as DATETIME )  AND CAST (updateTime as DATETIME ) <= CAST ('1970-05-20 00:00:00.0' as DATETIME )  ORDER BY updateTime ASC  , primaryKeyFieldValue ASC  ) t1
42809 [task-scheduler-4] INFO  u.a.k.p.ColumnRangePartitioner - Database appears to be synched as far as 1970-04-10 00:00:00.0Checking again on next job
42816 [task-scheduler-4] INFO  u.a.k.l.JobCompleteNotificationListener - !!! JOB FINISHED! promoting last good record date to JobExecutionContext
42821 [task-scheduler-4] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [FlowJob: [name=tikaJob]] completed with the following parameters: [{this_attempt_date=1462314220008}] and the following status: [COMPLETED]
42941 [Thread-3] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@3911c2a7: startup date [Tue May 03 23:22:57 BST 2016]; root of context hierarchy
42942 [Thread-3] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
42943 [Thread-3] INFO  o.s.i.j.ChannelPublishingJmsMessageListener$GatewayDelegate - stopped org.springframework.integration.jms.ChannelPublishingJmsMessageListener$GatewayDelegate@610d28b8
42943 [Thread-3] INFO  o.s.i.jms.JmsMessageDrivenEndpoint - stopped org.springframework.integration.jms.JmsMessageDrivenEndpoint#0
42944 [Thread-3] INFO  o.s.i.j.ChannelPublishingJmsMessageListener$GatewayDelegate - stopped org.springframework.integration.jms.ChannelPublishingJmsMessageListener$GatewayDelegate@438c9aa7
42944 [Thread-3] INFO  o.s.i.jms.JmsMessageDrivenEndpoint - stopped org.springframework.integration.jms.JmsMessageDrivenEndpoint#1
42944 [Thread-3] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 1073741823
42944 [Thread-3] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 0
42944 [Thread-3] INFO  o.s.i.endpoint.EventDrivenConsumer - Removing {jms:outbound-channel-adapter} as a subscriber to the 'replyChannel' channel
42944 [Thread-3] INFO  o.s.i.channel.DirectChannel - Channel 'org.springframework.context.support.GenericApplicationContext@3911c2a7.replyChannel' has 1 subscriber(s).
42944 [Thread-3] INFO  o.s.i.endpoint.EventDrivenConsumer - stopped org.springframework.integration.config.ConsumerEndpointFactoryBean#0
42944 [Thread-3] INFO  o.s.i.endpoint.EventDrivenConsumer - Removing {service-activator} as a subscriber to the 'requestChannel' channel
42944 [Thread-3] INFO  o.s.i.channel.DirectChannel - Channel 'org.springframework.context.support.GenericApplicationContext@3911c2a7.requestChannel' has 1 subscriber(s).
42944 [Thread-3] INFO  o.s.i.endpoint.EventDrivenConsumer - stopped org.springframework.integration.config.ConsumerEndpointFactoryBean#1
42944 [Thread-3] INFO  o.s.i.endpoint.EventDrivenConsumer - Removing {jms:outbound-channel-adapter} as a subscriber to the 'requestChannel' channel
42944 [Thread-3] INFO  o.s.i.channel.DirectChannel - Channel 'org.springframework.context.support.GenericApplicationContext@3911c2a7.requestChannel' has 0 subscriber(s).
42944 [Thread-3] INFO  o.s.i.endpoint.EventDrivenConsumer - stopped org.springframework.integration.config.ConsumerEndpointFactoryBean#2
42944 [Thread-3] INFO  o.s.i.endpoint.EventDrivenConsumer - Removing {aggregator} as a subscriber to the 'replyChannel' channel
42944 [Thread-3] INFO  o.s.i.channel.DirectChannel - Channel 'org.springframework.context.support.GenericApplicationContext@3911c2a7.replyChannel' has 0 subscriber(s).
42944 [Thread-3] INFO  o.s.i.endpoint.EventDrivenConsumer - stopped org.springframework.integration.config.ConsumerEndpointFactoryBean#3
42944 [Thread-3] INFO  o.s.i.endpoint.EventDrivenConsumer - Removing {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
42944 [Thread-3] INFO  o.s.i.c.PublishSubscribeChannel - Channel 'org.springframework.context.support.GenericApplicationContext@3911c2a7.errorChannel' has 0 subscriber(s).
42944 [Thread-3] INFO  o.s.i.endpoint.EventDrivenConsumer - stopped _org.springframework.integration.errorLogger
43144 [Thread-3] INFO  o.s.s.c.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
